#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       4.439112131051e-01      -1.208078269364e-02      -2.005027960475e+02      -3.123996304765e+02      -1.042457832516e-01      -2.742185423825e+02       9.723157191003e-03       9.723150001740e-03 
       4.606606987724e-01      -1.142764109365e-02      -2.049089877589e+02      -3.180225393388e+02      -1.156258810956e-01      -2.792741084750e+02       9.195405643669e-03       9.195397778978e-03 
       4.784692358323e-01      -1.077002312132e-02      -2.077652512650e+02      -3.235370404890e+02      -9.508064986781e-02      -2.840112329192e+02       8.668218949250e-03       8.668213248059e-03 
       4.975066461717e-01      -1.013322547529e-02      -2.109891817990e+02      -3.292095165620e+02      -1.052071866677e-01      -2.889283576061e+02       8.156327117263e-03       8.156320921387e-03 
       5.179924169094e-01      -9.526427868197e-03      -2.155446527227e+02      -3.353398760332e+02      -8.748462566238e-02      -2.944015493211e+02       7.666468875422e-03       7.666464325254e-03 
       5.402167786851e-01      -8.922649432832e-03      -2.195262539964e+02      -3.416366152632e+02      -7.676282921840e-02      -2.999191376434e+02       7.180753101053e-03       7.180749522241e-03 
       5.645740039770e-01      -8.325271371041e-03      -2.234876961915e+02      -3.482229675740e+02      -7.280698461604e-02      -3.056603879965e+02       6.700376793632e-03       6.700373663787e-03 
       5.916172487028e-01      -7.738528253302e-03      -2.283494377331e+02      -3.553503907623e+02      -7.912705986698e-02      -3.119599091749e+02       6.227572866740e-03       6.227569585006e-03 
       6.221534069165e-01      -7.146918856144e-03      -2.330931806866e+02      -3.629786061077e+02      -6.094431018054e-02      -3.186320238220e+02       5.751697307093e-03       5.751695160860e-03 
       6.574169225837e-01      -6.550263704837e-03      -2.386232614417e+02      -3.714231163641e+02      -5.665884556163e-02      -3.260606228843e+02       5.271303704311e-03       5.271301903813e-03 
       6.994106050453e-01      -5.935418101638e-03      -2.446858302666e+02      -3.809368951998e+02      -6.090412872752e-02      -3.344051491882e+02       4.776500743272e-03       4.776498911702e-03 
       7.516274366950e-01      -5.289994243001e-03      -2.518823075644e+02      -3.920887239370e+02      -4.896729733224e-02      -3.441991084072e+02       4.257019884472e-03       4.257018665550e-03 
       8.207019189882e-01      -4.592249526770e-03      -2.607045555563e+02      -4.057971415132e+02      -4.792561228869e-02      -3.562354027516e+02       3.695449216435e-03       3.695448163660e-03 
       9.203076905753e-01      -3.814088363769e-03      -2.722886462078e+02      -4.237981275346e+02      -3.126501732286e-02      -3.720398459380e+02       3.069193515682e-03       3.069193013503e-03 
       1.078222483566e+00      -2.943690361373e-03      -2.884700030843e+02      -4.489481032359e+02      -2.669905240330e-02      -3.941213255110e+02       2.368721134345e-03       2.368720809269e-03 
       1.328799352533e+00      -2.083225802083e-03      -3.100761805925e+02      -4.825320745419e+02      -1.828637888387e-02      -4.236074501063e+02       1.676275549250e-03       1.676275399714e-03 
       1.670388304426e+00      -1.420071874629e-03      -3.340240026441e+02      -5.197581070031e+02      -1.145905947287e-02      -4.562911422163e+02       1.142635453113e-03       1.142635395689e-03 
       2.102849757768e+00      -9.613642006091e-04      -3.583864299848e+02      -5.576320053178e+02      -8.034422764403e-03      -4.895434921355e+02       7.735266266615e-04       7.735266008254e-04 
       2.647330841336e+00      -6.481758079754e-04      -3.829731588125e+02      -5.958566189833e+02      -5.120539844582e-03      -5.231035962129e+02       5.215208861036e-04       5.215208754584e-04 
       3.332792069508e+00      -4.354176947070e-04      -4.077467063340e+02      -6.343747332310e+02      -4.474529289657e-03      -5.569212006360e+02       3.503303214359e-04       3.503303148138e-04 
       4.195736628530e+00      -2.915232344975e-04      -4.326770870180e+02      -6.731404230172e+02      -2.753666573629e-03      -5.909557595747e+02       2.345518865231e-04       2.345518839836e-04 
       5.282119462852e+00      -1.945912551099e-04      -4.577382115952e+02      -7.121151128527e+02      -1.354536872952e-03      -6.251732788101e+02       1.565612777794e-04       1.565612770723e-04 
       6.649794419916e+00      -1.295293760827e-04      -4.829041837630e+02      -7.512618406176e+02      -1.596774366602e-03      -6.595410506179e+02       1.042139306269e-04       1.042139299743e-04 
       8.371595178440e+00      -8.600252409124e-05      -5.081560683190e+02      -7.905567812523e+02      -2.202753317659e-04      -6.940374624291e+02       6.919374771355e-05       6.919374766678e-05 
       1.053921390739e+01      -5.696933608940e-05      -5.334719698599e+02      -8.299751967606e+02      -1.526594550346e-04      -7.286400360894e+02       4.583497175905e-05       4.583497173595e-05 
       1.326808420835e+01      -3.765612731625e-05      -5.588271904367e+02      -8.694940909102e+02      -1.523246997371e-04      -7.633270388653e+02       3.029664805695e-05       3.029664803963e-05 
       1.670352837572e+01      -2.484093318199e-05      -5.841990996851e+02      -9.091036370909e+02       4.042102628113e-05      -7.980873874558e+02       1.998639108057e-05       1.998639108175e-05 
       2.102849633881e+01      -1.635655711317e-05      -6.095425907931e+02      -9.487753163011e+02      -2.075904768767e-05      -8.328920542228e+02       1.316050790228e-05       1.316050790091e-05 
       2.647330841275e+01      -1.075137589889e-05      -6.348119997626e+02      -9.885063834556e+02      -1.412004315780e-04      -8.677320431631e+02       8.651064773622e-06       8.651064768818e-06 
       3.332792069508e+01      -7.055435645231e-06      -6.599247718453e+02      -1.028280111092e+03      -5.064982843432e-05      -9.025818989163e+02       5.677675193445e-06       5.677675192056e-06 
